,Date,Result,Rounds,Map,Position,Kills,Assists,Deaths,KR,KD,HS,HSP,Period
55,b'2018-01-10',0,29,cache,4,10,2,24,0.34,0.42,4,40,1
56,b'2018-01-11',1,24,overpass,1,24,2,11,1.0,2.18,8,33,1
57,b'2018-01-11',1,17,overpass,2,17,2,3,1.0,5.67,7,41,1
58,b'2018-01-11',1,15,overpass,2,15,3,5,1.0,3.0,4,27,1
59,b'2018-01-11',0,27,inferno,1,20,2,17,0.74,1.18,6,30,1
60,b'2018-01-12',1,25,train,5,15,2,17,0.6,0.88,6,40,1
61,b'2018-01-12',1,30,mirage,5,17,12,21,0.57,0.81,6,35,1
62,b'2018-01-12',0,20,inferno,4,7,2,17,0.35,0.41,2,29,1
63,b'2018-01-13',0,22,cache,4,14,5,15,0.64,0.93,1,7,1
64,b'2018-01-13',1,29,overpass,2,26,12,16,0.9,1.62,5,19,1
65,b'2018-01-13',0,18,cbble,3,7,0,11,0.39,0.64,1,14,1
66,b'2018-01-13',1,41,overpass,5,7,1,8,0.17,0.88,2,29,1
67,b'2018-01-13',1,30,cache,5,14,2,20,0.47,0.7,4,29,1
68,b'2018-01-13',1,17,inferno,3,16,4,6,0.94,2.67,3,19,1
69,b'2018-01-13',0,30,inferno,3,24,3,20,0.8,1.2,8,33,1
70,b'2018-01-14',1,24,mirage,5,11,1,11,0.46,1.0,2,18,1
71,b'2018-01-14',1,19,cache,3,18,2,7,0.95,2.57,4,22,1
72,b'2018-01-14',0,21,cache,1,13,1,20,0.62,0.65,4,31,1
73,b'2018-01-14',1,25,cache,4,13,7,17,0.52,0.76,4,31,1
74,b'2018-01-14',1,21,cache,3,19,6,11,0.9,1.73,6,32,1
75,b'2018-01-14',1,11,cache,2,12,3,6,1.09,2.0,5,42,1
76,b'2018-01-14',0,20,inferno,5,5,2,17,0.25,0.29,1,20,1
77,b'2018-01-14',0,26,mirage,2,24,0,20,0.92,1.2,8,33,1
78,b'2018-01-14',1,23,cache,4,16,5,15,0.7,1.07,6,38,1
79,b'2018-01-14',1,25,mirage,3,17,3,12,0.68,1.42,5,29,1
80,b'2018-01-14',0,26,cache,2,21,4,18,0.81,1.17,3,14,1
81,b'2018-01-14',0,26,cache,5,9,2,20,0.35,0.45,3,33,1
82,b'2018-01-15',0,30,train,1,29,10,20,0.97,1.45,10,34,1
83,b'2018-01-15',0,36,cache,4,20,9,25,0.56,0.8,4,20,1
84,b'2018-01-15',1,24,cache,2,22,4,14,0.92,1.57,8,36,1
85,b'2018-01-15',1,26,overpass,2,23,4,16,0.88,1.44,6,26,1
86,b'2018-01-15',0,28,cbble,2,23,2,18,0.82,1.28,8,35,1
87,b'2018-01-15',0,30,cache,4,21,6,19,0.7,1.11,7,33,1
88,b'2018-01-15',0,24,cache,3,14,0,13,0.58,1.08,6,43,1
89,b'2018-01-15',1,23,overpass,3,18,8,16,0.78,1.12,4,22,1
90,b'2018-01-15',0,28,inferno,3,16,0,22,0.57,0.73,4,25,1
91,b'2018-01-16',0,22,cache,5,8,4,21,0.36,0.38,3,38,1
92,b'2018-01-16',0,19,mirage,5,6,4,15,0.32,0.4,1,17,1
93,b'2018-01-16',1,28,mirage,3,19,8,20,0.68,0.95,10,53,1
94,b'2018-01-16',1,22,dust2,5,8,3,14,0.36,0.57,3,38,1
95,b'2018-01-17',1,22,dust2,3,22,6,16,1.0,1.38,5,23,1
96,b'2018-01-17',0,27,mirage,4,13,8,21,0.48,0.62,2,15,1
97,b'2018-01-17',0,12,dust2,3,5,0,10,0.42,0.5,3,60,1
98,b'2018-01-17',1,21,mirage,5,11,2,13,0.52,0.85,1,9,1
99,b'2018-01-17',1,40,mirage,1,35,6,28,0.88,1.25,12,34,1
100,b'2018-01-17',0,23,cache,5,1,5,19,0.04,0.05,1,100,1
101,b'2018-01-18',0,34,inferno,4,20,5,20,0.59,1.0,5,25,1
102,b'2018-01-18',1,22,inferno,2,27,3,6,1.23,4.5,6,22,1
103,b'2018-01-18',1,25,cache,1,22,7,18,0.88,1.22,10,45,1
104,b'2018-01-18',1,11,inferno,2,13,1,4,1.18,3.25,5,38,1
105,b'2018-01-18',1,27,cache,4,17,3,17,0.63,1.0,4,24,1
106,b'2018-01-18',0,30,mirage,2,23,3,20,0.77,1.15,12,52,1
107,b'2018-01-18',1,23,cache,1,29,2,11,1.26,2.64,12,41,1
108,b'2018-01-18',1,18,inferno,3,16,4,8,0.89,2.0,6,38,1
109,b'2018-01-18',1,24,cache,3,18,6,13,0.75,1.38,8,44,1
110,b'2018-01-18',1,36,mirage,3,22,6,28,0.61,0.79,8,36,1
111,b'2018-01-18',0,24,inferno,4,11,6,18,0.46,0.61,5,45,1
112,b'2018-01-19',1,29,mirage,4,16,5,18,0.55,0.89,7,44,1
113,b'2018-01-19',0,30,cache,3,22,1,20,0.73,1.1,9,41,1
114,b'2018-01-19',1,28,mirage,5,10,4,19,0.36,0.53,3,30,1
115,b'2018-01-19',0,47,overpass,4,27,6,32,0.57,0.84,9,33,1
116,b'2018-01-20',0,27,inferno,2,19,3,18,0.7,1.06,10,53,1
117,b'2018-01-20',0,26,inferno,4,15,4,17,0.58,0.88,5,33,1
118,b'2018-01-20',0,26,cache,1,23,2,15,0.88,1.53,7,30,1
119,b'2018-01-20',0,29,mirage,2,20,0,22,0.69,0.91,5,25,1
120,b'2018-01-20',0,8,inferno,2,7,0,4,0.88,1.75,3,43,1
121,b'2018-01-20',1,20,cache,5,15,5,9,0.75,1.67,3,20,1
122,b'2018-01-20',0,19,cache,2,9,1,17,0.47,0.53,4,44,1
123,b'2018-01-20',1,26,cache,1,25,2,14,0.96,1.79,9,36,1
124,b'2018-01-20',1,23,mirage,5,9,2,14,0.39,0.64,5,56,1
125,b'2018-01-20',1,22,cache,1,23,5,14,1.05,1.64,15,65,1
126,b'2018-01-20',1,18,mirage,1,22,4,9,1.22,2.44,12,55,1
127,b'2018-01-20',1,11,overpass,3,7,2,7,0.64,1.0,1,14,1
128,b'2018-01-20',0,22,mirage,4,9,2,19,0.41,0.47,4,44,1
129,b'2018-01-21',1,24,mirage,5,11,2,14,0.46,0.79,5,45,1
130,b'2018-01-21',0,23,cache,3,14,3,19,0.61,0.74,6,43,1
131,b'2018-01-21',0,24,inferno,5,8,1,17,0.33,0.47,4,50,1
132,b'2018-01-21',0,28,cache,4,15,2,21,0.54,0.71,3,20,1
133,b'2018-01-22',0,30,overpass,4,20,5,24,0.67,0.83,10,50,1
134,b'2018-01-22',1,29,dust2,4,18,2,21,0.62,0.86,10,56,1
135,b'2018-01-23',1,26,dust2,4,16,6,23,0.62,0.7,6,38,1
136,b'2018-01-23',0,24,mirage,5,7,3,20,0.29,0.35,4,57,1
137,b'2018-01-23',1,28,cache,4,14,5,21,0.5,0.67,5,36,1
138,b'2018-01-24',1,25,mirage,4,17,2,16,0.68,1.06,5,29,1
139,b'2018-01-24',1,41,mirage,5,14,7,35,0.34,0.4,4,29,1
140,b'2018-01-25',1,24,dust2,4,13,6,14,0.54,0.93,3,23,1
141,b'2018-01-25',1,28,inferno,3,21,8,21,0.75,1.0,8,38,1
142,b'2018-01-25',0,27,cache,3,18,4,21,0.67,0.86,9,50,1
143,b'2018-01-25',0,25,cache,3,18,3,20,0.72,0.9,7,39,1
144,b'2018-01-25',0,23,inferno,3,11,3,18,0.48,0.61,3,27,1
145,b'2018-01-25',1,19,train,4,12,2,10,0.63,1.2,6,50,1
146,b'2018-01-25',1,25,dust2,2,21,6,10,0.84,2.1,9,43,1
147,b'2018-01-26',0,24,cache,5,10,1,20,0.42,0.5,3,30,1
148,b'2018-01-26',1,17,dust2,4,13,4,8,0.76,1.62,8,62,1
149,b'2018-01-26',1,15,dust2,2,13,4,3,0.87,4.33,8,62,1
150,b'2018-01-26',1,18,cache,5,7,8,12,0.39,0.58,1,14,1
151,b'2018-01-26',1,13,mirage,4,7,3,6,0.54,1.17,4,57,1
152,b'2018-01-26',1,21,mirage,1,21,1,10,1.0,2.1,9,43,1
153,b'2018-01-26',0,25,mirage,5,10,3,19,0.4,0.53,7,70,1
154,b'2018-01-26',1,28,dust2,4,18,8,18,0.64,1.0,11,61,1
155,b'2018-01-26',1,18,cache,3,15,2,9,0.83,1.67,6,40,1
156,b'2018-01-27',0,28,dust2,3,18,3,20,0.64,0.9,9,50,1
157,b'2018-01-27',1,18,train,4,13,4,11,0.72,1.18,6,46,1
158,b'2018-01-27',0,30,overpass,4,19,3,20,0.63,0.95,7,37,1
159,b'2018-01-27',1,27,cache,2,22,4,13,0.81,1.69,10,45,1
160,b'2018-01-27',0,26,mirage,5,13,2,19,0.5,0.68,7,54,1
161,b'2018-01-27',1,21,mirage,3,16,5,15,0.76,1.07,8,50,1
162,b'2018-01-27',0,22,dust2,3,9,2,19,0.41,0.47,3,33,1
163,b'2018-01-28',1,18,cache,5,13,3,10,0.72,1.3,3,23,1
164,b'2018-01-28',1,18,mirage,5,8,6,7,0.44,1.14,4,50,1
165,b'2018-01-28',1,30,cbble,5,16,4,22,0.53,0.73,10,62,1
166,b'2018-01-29',1,21,overpass,4,14,3,11,0.67,1.27,9,64,1
167,b'2018-01-29',1,28,train,5,9,4,19,0.32,0.47,3,33,1
168,b'2018-01-29',0,28,mirage,5,15,6,21,0.54,0.71,5,33,1
169,b'2018-01-30',0,25,overpass,4,10,6,21,0.4,0.48,4,40,1
170,b'2018-02-01',1,42,dust2,5,20,4,26,0.48,0.77,7,35,1
171,b'2018-02-01',0,25,mirage,3,12,2,19,0.48,0.63,3,25,1
172,b'2018-02-01',0,36,cache,5,20,8,28,0.56,0.71,8,40,1
173,b'2018-02-02',1,24,mirage,4,16,2,12,0.67,1.33,8,50,2
174,b'2018-02-02',1,27,cache,3,20,6,17,0.74,1.18,5,25,2
175,b'2018-02-02',0,22,train,5,5,4,17,0.23,0.29,3,60,2
176,b'2018-02-02',1,23,mirage,3,17,5,16,0.74,1.06,6,35,2
177,b'2018-02-03',0,30,mirage,3,22,3,22,0.73,1.0,10,45,2
178,b'2018-02-03',0,27,mirage,4,17,6,20,0.63,0.85,7,41,2
179,b'2018-02-03',0,28,overpass,5,16,5,22,0.57,0.73,4,25,2
180,b'2018-02-03',1,29,mirage,3,17,3,22,0.59,0.77,6,35,2
181,b'2018-02-04',1,24,train,4,18,1,11,0.75,1.64,7,39,2
182,b'2018-02-04',0,34,mirage,5,14,3,26,0.41,0.54,5,36,2
183,b'2018-02-05',1,36,mirage,5,15,7,25,0.42,0.6,4,27,2
184,b'2018-02-06',0,28,mirage,4,13,6,21,0.46,0.62,3,23,2
185,b'2018-02-06',1,21,mirage,5,16,4,14,0.76,1.14,9,56,2
186,b'2018-02-07',0,20,mirage,5,7,1,18,0.35,0.39,5,71,2
187,b'2018-02-07',0,20,nuke,3,11,3,19,0.55,0.58,3,27,2
188,b'2018-02-08',0,16,cache,1,5,0,15,0.31,0.33,1,20,2
189,b'2018-02-09',1,30,inferno,2,25,7,20,0.83,1.25,7,28,2
190,b'2018-02-10',0,19,cache,5,1,3,19,0.05,0.05,1,100,2
191,b'2018-02-10',0,28,dust2,5,8,5,21,0.29,0.38,4,50,2
192,b'2018-02-10',0,27,mirage,2,19,4,20,0.7,0.95,3,16,2
193,b'2018-02-10',1,26,inferno,4,17,10,18,0.65,0.94,7,41,2
194,b'2018-02-10',1,18,train,3,19,4,8,1.06,2.38,3,16,2
195,b'2018-02-10',1,26,mirage,3,18,2,14,0.69,1.29,2,11,2
196,b'2018-02-10',1,29,inferno,5,14,13,19,0.48,0.74,5,36,2
197,b'2018-02-10',0,21,mirage,3,13,0,17,0.62,0.76,5,38,2
198,b'2018-02-10',1,20,mirage,3,15,4,10,0.75,1.5,3,20,2
199,b'2018-02-11',0,30,overpass,3,21,5,22,0.7,0.95,4,19,2
200,b'2018-02-11',0,19,mirage,5,1,1,6,0.05,0.17,1,100,2
201,b'2018-02-12',0,27,overpass,5,7,7,21,0.26,0.33,1,14,2
202,b'2018-02-13',1,42,cache,5,23,5,30,0.55,0.77,6,26,2
203,b'2018-02-13',1,27,cache,5,18,5,20,0.67,0.9,7,39,2
204,b'2018-02-13',0,27,cache,1,19,3,21,0.7,0.9,6,32,2
205,b'2018-02-13',1,28,cache,4,16,5,19,0.57,0.84,8,50,2
206,b'2018-02-13',1,18,mirage,4,13,1,7,0.72,1.86,6,46,2
207,b'2018-02-13',0,30,cache,3,21,4,24,0.7,0.88,6,29,2
208,b'2018-02-13',0,24,mirage,4,11,2,21,0.46,0.52,4,36,2
209,b'2018-02-13',0,29,train,5,13,4,22,0.45,0.59,2,15,2
210,b'2018-02-13',1,30,overpass,5,15,3,20,0.5,0.75,6,40,2
211,b'2018-02-13',0,22,cache,4,8,2,20,0.36,0.4,5,62,2
212,b'2018-02-14',0,17,inferno,3,5,0,12,0.29,0.42,2,40,2
213,b'2018-02-14',0,28,inferno,1,22,4,20,0.79,1.1,3,14,2
214,b'2018-02-14',1,25,cache,2,21,3,16,0.84,1.31,5,24,2
215,b'2018-02-14',0,23,mirage,5,9,7,20,0.39,0.45,6,67,2
216,b'2018-02-14',1,22,dust2,2,19,2,13,0.86,1.46,5,26,2
217,b'2018-02-14',1,23,cache,4,13,4,17,0.57,0.76,8,62,2
218,b'2018-02-14',0,25,overpass,3,16,2,21,0.64,0.76,8,50,2
219,b'2018-02-14',1,26,overpass,5,16,6,17,0.62,0.94,6,38,2
220,b'2018-02-14',1,25,train,4,20,4,15,0.8,1.33,7,35,2
221,b'2018-02-15',0,29,inferno,4,18,5,20,0.62,0.9,8,44,2
222,b'2018-02-15',0,23,mirage,1,18,1,16,0.78,1.12,6,33,2
223,b'2018-02-15',0,22,mirage,4,8,2,17,0.36,0.47,3,38,2
224,b'2018-02-15',1,22,cache,1,30,3,11,1.36,2.73,10,33,2
225,b'2018-02-15',0,21,overpass,1,15,4,18,0.71,0.83,7,47,2
226,b'2018-02-15',0,30,cache,1,22,0,20,0.73,1.1,6,27,2
227,b'2018-02-15',1,19,mirage,2,17,3,10,0.89,1.7,7,41,2
228,b'2018-02-15',0,23,overpass,5,8,2,19,0.35,0.42,2,25,2
229,b'2018-02-16',0,18,mirage,2,9,0,17,0.5,0.53,4,44,2
230,b'2018-02-16',1,40,dust2,5,20,7,28,0.5,0.71,7,35,2
231,b'2018-02-16',1,21,mirage,4,15,0,13,0.71,1.15,8,53,2
232,b'2018-02-16',0,25,cache,1,20,2,19,0.8,1.05,7,35,2
233,b'2018-02-16',0,24,cache,3,16,3,18,0.67,0.89,10,62,2
234,b'2018-02-16',0,22,cache,4,7,2,18,0.32,0.39,4,57,2
235,b'2018-02-17',1,29,mirage,5,15,2,22,0.52,0.68,5,33,2
236,b'2018-02-17',1,20,cbble,1,22,4,5,1.1,4.4,7,32,2
237,b'2018-02-18',1,23,mirage,4,14,8,17,0.61,0.82,5,36,2
238,b'2018-02-18',1,25,mirage,4,11,3,20,0.44,0.55,6,55,2
239,b'2018-02-18',0,28,mirage,5,8,3,20,0.29,0.4,1,12,2
240,b'2018-02-19',1,26,cache,2,22,5,20,0.85,1.1,9,41,2
241,b'2018-02-20',0,30,train,5,10,3,24,0.33,0.42,6,60,2
242,b'2018-02-20',0,21,mirage,2,13,5,17,0.62,0.76,9,69,2
243,b'2018-02-20',0,29,dust2,4,13,4,22,0.45,0.59,7,54,2
244,b'2018-02-20',1,20,mirage,5,9,4,12,0.45,0.75,6,67,2
245,b'2018-02-21',1,20,cache,3,19,3,12,0.95,1.58,6,32,2
246,b'2018-02-22',1,23,cache,3,18,5,13,0.78,1.38,9,50,2
247,b'2018-02-22',1,30,cache,4,16,4,22,0.53,0.73,6,38,2
248,b'2018-02-22',0,17,train,2,7,1,17,0.41,0.41,3,43,2
249,b'2018-02-22',0,21,mirage,3,9,1,20,0.43,0.45,3,33,2
250,b'2018-02-22',1,41,mirage,3,31,9,26,0.76,1.19,8,26,2
251,b'2018-02-22',1,29,cache,2,21,2,19,0.72,1.11,12,57,2
252,b'2018-02-22',0,28,cbble,5,13,4,20,0.46,0.65,9,69,2
253,b'2018-02-23',1,29,train,5,17,3,24,0.59,0.71,6,35,2
254,b'2018-02-24',0,25,mirage,3,18,1,15,0.72,1.2,5,28,2
255,b'2018-02-24',0,18,cache,5,0,1,17,0.0,0.0,1,0,2
256,b'2018-02-24',0,29,mirage,5,6,0,6,0.21,1.0,3,50,2
257,b'2018-02-24',1,24,dust2,3,19,4,15,0.79,1.27,9,47,2
258,b'2018-02-24',1,23,mirage,2,23,2,12,1.0,1.92,7,30,2
259,b'2018-02-25',0,29,overpass,2,20,4,22,0.69,0.91,7,35,2
260,b'2018-02-25',1,28,cbble,4,16,4,19,0.57,0.84,7,44,2
261,b'2018-02-25',1,28,cache,3,23,6,19,0.82,1.21,6,26,2
262,b'2018-02-26',1,29,mirage,1,30,3,16,1.03,1.88,14,47,2
263,b'2018-02-26',1,35,cache,4,23,1,20,0.66,1.15,6,26,2
264,b'2018-02-26',1,23,train,2,20,3,15,0.87,1.33,7,35,2
265,b'2018-02-26',1,16,inferno,5,12,5,5,0.75,2.4,4,33,2
266,b'2018-02-26',0,29,mirage,5,12,1,20,0.41,0.6,4,33,2
267,b'2018-02-26',1,30,overpass,4,16,3,19,0.53,0.84,6,38,2
268,b'2018-02-27',0,36,mirage,2,26,4,26,0.72,1.0,7,27,2
269,b'2018-02-27',0,30,mirage,2,21,4,19,0.7,1.11,8,38,2
270,b'2018-02-27',0,30,cache,2,24,7,24,0.8,1.0,8,33,2
271,b'2018-02-27',0,27,nuke,4,15,2,22,0.56,0.68,2,13,2
272,b'2018-02-27',1,28,inferno,5,16,6,18,0.57,0.89,4,25,2
273,b'2018-02-27',1,22,mirage,3,15,3,14,0.68,1.07,5,33,2
274,b'2018-02-28',0,27,mirage,5,14,4,21,0.52,0.67,6,43,2
275,b'2018-02-28',1,28,overpass,1,23,6,18,0.82,1.28,3,13,2
276,b'2018-03-01',1,18,mirage,3,14,0,10,0.78,1.4,4,29,2
277,b'2018-03-01',0,24,train,3,13,4,21,0.54,0.62,6,46,2
278,b'2018-03-03',1,24,cache,1,22,6,12,0.92,1.83,10,45,2
279,b'2018-03-03',0,30,cache,4,20,2,20,0.67,1.0,8,40,2
280,b'2018-03-03',0,29,overpass,3,19,7,20,0.66,0.95,4,21,2
281,b'2018-03-03',1,30,dust2,2,22,8,19,0.73,1.16,7,32,2
282,b'2018-03-03',1,34,inferno,3,24,1,18,0.71,1.33,6,25,2
283,b'2018-03-03',0,28,mirage,1,22,4,21,0.79,1.05,11,50,2
284,b'2018-03-03',0,26,cbble,3,16,3,21,0.62,0.76,5,31,2
285,b'2018-03-05',1,30,mirage,2,30,5,22,1.0,1.36,10,33,2
286,b'2018-03-05',0,24,mirage,5,5,1,8,0.21,0.62,3,60,2
287,b'2018-03-06',0,28,dust2,4,15,3,21,0.54,0.71,3,20,2
288,b'2018-03-06',1,25,mirage,3,18,6,14,0.72,1.29,6,33,2
289,b'2018-03-06',0,28,cache,3,19,5,21,0.68,0.9,6,32,2
290,b'2018-03-07',0,28,mirage,3,18,1,20,0.64,0.9,8,44,2
291,b'2018-03-07',0,11,mirage,1,8,2,10,0.73,0.8,5,62,2
292,b'2018-03-07',0,27,cbble,3,16,1,18,0.59,0.89,2,12,2
293,b'2018-03-07',1,18,cache,2,14,2,9,0.78,1.56,4,29,2
294,b'2018-03-07',1,22,overpass,2,25,3,12,1.14,2.08,6,24,2
295,b'2018-03-07',1,30,cache,2,29,7,23,0.97,1.26,11,38,2
296,b'2018-03-07',1,23,mirage,1,24,2,9,1.04,2.67,7,29,2
297,b'2018-03-08',0,23,inferno,3,12,3,19,0.52,0.63,4,33,2
298,b'2018-03-09',0,24,cache,2,19,1,19,0.79,1.0,6,32,2
299,b'2018-03-09',0,21,mirage,5,10,4,16,0.48,0.62,6,60,2
300,b'2018-03-09',1,23,cache,4,14,5,12,0.61,1.17,3,21,2
301,b'2018-03-09',1,26,cache,4,17,6,17,0.65,1.0,2,12,2
302,b'2018-03-09',1,21,mirage,4,17,1,12,0.81,1.42,9,53,2
303,b'2018-03-10',1,27,mirage,2,25,6,16,0.93,1.56,12,48,2
304,b'2018-03-10',0,28,cache,3,16,2,23,0.57,0.7,9,56,2
305,b'2018-03-10',1,30,cbble,4,20,5,22,0.67,0.91,8,40,2
306,b'2018-03-11',0,29,inferno,4,12,1,20,0.41,0.6,6,50,2
307,b'2018-03-11',1,27,mirage,1,25,5,15,0.93,1.67,9,36,2
308,b'2018-03-11',1,15,cache,5,11,1,4,0.73,2.75,2,18,2
309,b'2018-03-12',0,30,cache,2,25,3,21,0.83,1.19,9,36,2
310,b'2018-03-12',1,30,overpass,3,22,3,17,0.73,1.29,9,41,2
311,b'2018-03-12',1,18,cache,5,7,1,4,0.39,1.75,1,14,2
312,b'2018-03-12',1,36,mirage,1,40,4,23,1.11,1.74,13,32,2
313,b'2018-03-12',1,36,mirage,3,26,4,26,0.72,1.0,9,35,2
314,b'2018-03-13',1,27,train,2,22,3,15,0.81,1.47,6,27,2
315,b'2018-03-13',0,11,overpass,4,0,0,5,0.0,0.0,0,0,2
316,b'2018-03-13',1,19,mirage,4,11,4,11,0.58,1.0,5,45,2
317,b'2018-03-13',0,29,mirage,5,16,6,21,0.55,0.76,5,31,2
318,b'2018-03-13',1,29,inferno,5,17,0,17,0.59,1.0,7,41,2
319,b'2018-03-14',1,29,cache,4,18,2,16,0.62,1.12,8,44,2
320,b'2018-03-15',0,25,inferno,4,12,4,18,0.48,0.67,6,50,2
321,b'2018-03-15',0,20,inferno,1,14,5,16,0.7,0.88,3,21,2
322,b'2018-03-15',1,23,dust2,2,19,2,14,0.83,1.36,8,42,2
323,b'2018-03-15',0,36,mirage,4,23,1,26,0.64,0.88,6,26,2
324,b'2018-03-16',1,30,mirage,4,19,3,23,0.63,0.83,5,26,2
325,b'2018-03-16',0,29,mirage,5,14,6,24,0.48,0.58,5,36,2
326,b'2018-03-16',0,21,mirage,1,22,2,17,1.05,1.29,6,27,2
327,b'2018-03-16',1,26,mirage,1,25,10,17,0.96,1.47,10,40,2
328,b'2018-03-16',1,36,mirage,4,23,2,21,0.64,1.1,7,30,2
329,b'2018-03-17',0,27,cache,2,18,8,22,0.67,0.82,7,39,2
330,b'2018-03-17',1,26,cache,2,21,4,14,0.81,1.5,9,43,2
331,b'2018-03-17',1,27,inferno,4,15,9,19,0.56,0.79,1,7,2
332,b'2018-03-17',0,28,mirage,4,17,6,21,0.61,0.81,8,47,2
333,b'2018-03-17',1,18,mirage,3,16,2,7,0.89,2.29,5,31,2
334,b'2018-03-17',1,21,mirage,4,15,2,10,0.71,1.5,4,27,2
335,b'2018-03-18',1,28,inferno,4,14,2,19,0.5,0.74,5,36,2
336,b'2018-03-18',0,18,cache,3,7,3,18,0.39,0.39,3,43,2
337,b'2018-03-18',0,28,inferno,1,23,3,20,0.82,1.15,8,35,2
338,b'2018-03-18',0,23,train,3,7,1,19,0.3,0.37,3,43,2
339,b'2018-03-18',0,30,cbble,4,16,3,21,0.53,0.76,9,56,2
340,b'2018-03-18',1,20,overpass,2,19,4,9,0.95,2.11,4,21,2
341,b'2018-03-18',0,23,cache,1,22,2,17,0.96,1.29,9,41,2
