publisher,owners
"Psyonix, Inc.",10000000
Expansive Worlds,10000000
Warner Bros Interactive Entertainment,10000000
Nexon Korea Corporation,10000000
Frozenbyte,9900000
11 bit studios,9700000
Gameforge 4D GmbH,9500000
tinyBuild,9450000
Curve Digital,9210000
Strategy First,9120000
TaleWorlds Entertainment,9000000
Fatshark,8650000
Telltale Games,8600000
Konami Digital Entertainment,8460000
FireFly Studios,8420000
Landfall,8220000
Funbox Media Ltd,7960000
AGM PLAYISM,7890000
Unknown Worlds Entertainment,7570000
Chucklefish,7520000
Supergiant Games,7500000
Rebellion,7450000
CI Games,7450000
Runic Games,7200000
Remedy Entertainment,7100000
Hyper Hippo Games,7060000
Trendy Entertainment,7000000
Scott Cawthon,7000000
Wizards of the Coast LLC,7000000
Robot Entertainment,7000000
Feral Interactive (Mac/Linux),7000000
Freakinware Studios,7000000
"KOEI TECMO GAMES CO., LTD.",7000000
Raw Fury,6710000
Nightdive Studios,6540000
Oddworld Inhabitants,6500000
Stunlock Studios,6500000
Degica,6340000
Microids,6200000
Funcom,6200000
Aspyr,6060000
U.S. Army,6000000
Playdead,6000000
"Standing Stone Games, LLC",6000000
Atelier 801,6000000
Red Barrels,6000000
New World Interactive,6000000
PlayWay S.A.,5990000
Missing Link Games,5950000
DL Softworks,5830000
Awesome Games Studio,5820000
Edmund McMillen,5800000
Winged Cloud,5770000
Good Shepherd Entertainment,5750000
Muse Games,5700000
Keen Software House,5620000
"Grey Havens, LLC",5600000
Pocketwatch Games,5540000
DANKIE,5500000
Subset Games,5500000
Paradise Project,5400000
Techland Publishing,5370000
Forever Entertainment S. A.,5290000
Ronimo Games,5220000
Jesse Makkonen,5220000
3909,5200000
Doctor Entertainment AB,5200000
Microblast Games,5200000
"Rocketeer Games Studio, LLC",5200000
"Aspyr (Mac, Linux)",5200000
"IMCGAMES Co.,Ltd.",5200000
Thunder Lotus Games,5200000
Aeria Games,5200000
GSC Game World,5100000
Frontier Developments,5070000
Cybertime System,5020000
RaceRoom Entertainment AG,5020000
Chubby Pixel,5020000
Toadman Interactive,5020000
TCH Scarlet Limited,5000000
Joycity,5000000
Double Action Factory,5000000
Sven Co-op Team,5000000
ConcernedApe,5000000
FromSoftware (Japan),5000000
"FromSoftware, Inc.",5000000
Hoobalugalar_X,5000000
Vostok Games,5000000
WB Games,5000000
"Masangsoft, Inc.",5000000
BlackSpot Entertainment,5000000
Team Salvato,5000000
Codebrush Games,5000000
Team Psykskallar,5000000
Sector3 Studios,5000000
Automaton,5000000
Deca Games,5000000
Reactive Drop Team,5000000
NTTGame,5000000
Red Hook Studios,5000000
Spiderling Studios,5000000
Galactic Cafe,5000000
The Fighter Collection,5000000
Colibri Games,5000000
Playful Corp.,5000000
tobyfox,5000000
Fishing Planet LLC,5000000
Fistful of Frags Team,5000000
Activision (Excluding Japan and Asia),5000000
"PopCap Games, Inc.",5000000
Private Division ,5000000
The Fun Pimps Entertainment LLC,5000000
方块游戏 (Asia),5000000
VRChat Inc.,5000000
Endnight Games Ltd,5000000
Noble Empire Corp.,5000000
Jagex,5000000
ConchShip Games,5000000
Northwood Studios,5000000
Versus Evil,4990000
Plug In Digital,4980000
Atriagames,4850000
Bossa Studios,4740000
Artifex Mundi,4640000
SNK CORPORATION,4550000
"FromSoftware, Inc",4500000
Amaterasu Software,4450000
8Floor,4430000
Iceberg Interactive,4400000
Big Fish Games,4240000
Introversion Software,4220000
Ninja Kiwi,4070000
Crytek,4020000
Terry Cavanagh,4000000
Nexon America Inc.,4000000
Gearbox Publishing,3920000
Nival,3640000
Marvelous,3500000
"Epic Games, Inc.",3500000
Adult Swim Games,3450000
HandyGames,3390000
Atari,3370000
GrabTheGames,3350000
Meridian4,3340000
Egosoft,3270000
XSEED Games,3220000
Croteam,3170000
Freebird Games,3050000
"Jackbox Games, Inc.",3050000
Jetdogs Studios,3030000
ACE,3020000
Asmodee Digital,3020000
AYE Technology,3010000
Vlambeer,3000000
Siberian Digital,2960000
SimBin,2940000
Double Fine Presents,2920000
Beamdog,2900000
Slitherine Ltd.,2860000
Eforb,2820000
inXile Entertainment,2820000
Gameloft,2800000
Might and Delight,2790000
Gaijin Games,2750000
Running With Scissors,2700000
Amanita Design,2700000
United Independent Entertainment GmbH,2660000
Digerati Distribution,2660000
Positech Games,2640000
NeocoreGames,2600000
Suspicious Developments,2600000
Zachtronics,2590000
Just1337 Publisher,2560000
HypeTrain Digital,2550000
SakuraGame,2550000
Ankama Games,2520000
Hello Games,2520000
M2H,2500000
Creability,2500000
Panic Art Studios,2500000
Slightly Mad Studios,2500000
Bigben Interactive,2490000
"Arcen Games, LLC",2470000
Idea Factory International,2460000
Displacement Studios,2440000
Kongregate,2430000
IMGN.PRO,2380000
"Spike Chunsoft Co., Ltd.",2330000
"Marvelous USA, Inc.",2320000
Retroism,2320000
EnsenaSoft,2310000
Soccer Manager Ltd,2300000
GSC World Publishing,2300000
Coconut Island Games,2290000
Headup,2280000
Nkidu Games Inc.,2240000
Snowbird Games,2220000
SUPERHOT Team,2220000
exosyphen studios,2210000
Digital Tribe,2200000
Total Mayhem Games,2200000
Wolfire Games,2200000
Kyle Seeley,2200000
Giants Software,2200000
Sigma Team Inc.,2170000
Tortuga Team,2150000
Spearhead Games,2150000
MangaGamer,2130000
Buka Entertainment,2110000
Cellar Door Games,2100000
Playa Games GmbH,2100000
BetaDwarf,2100000
Wadjet Eye Games,2100000
Phat Phrog Studios,2090000
CCP,2090000
Evil Tortilla Games,2070000
Creaky Corpse Ltd,2050000
Digital Confectioners,2050000
"PlayStation Mobile, Inc.",2050000
Zeboyd Games,2050000
Choice of Games,2050000
Carbon Games,2040000
kChamp Games,2020000
RuneStorm,2020000
Infernal Dream,2020000
Shiro Games,2020000
Spiderweb Software,2020000
Masthead Studios Ltd,2020000
"Cygames, Inc.",2020000
"Monochrome, Inc",2020000
CyberCoconut,2020000
SnoutUp,2020000
VT Publishing,2010000
RobTop Games,2000000
WhisperGames,2000000
Crowbar Collective,2000000
Autumn Games,2000000
Hinterland Studio Inc.,2000000
Cruderocks,2000000
Lag Studios,2000000
System Era Softworks,2000000
Motion Twin,2000000
Crytek ,2000000
Boss Key Productions,2000000
Grey Box,2000000
Nexon America,2000000
Ndemic Creations,2000000
Demruth,2000000
Oovee® Game Studios,2000000
Versus Evil	,2000000
Desertkun,2000000
Trapdoor,2000000
EVGA,2000000
Bethesda-Soft,2000000
2D BOY ,2000000
Bennett Foddy,2000000
800 North and Digital Ranch,2000000
Number None,2000000
Game Science,2000000
Brace Yourself Games,2000000
NEXON Korea Corp. & NEXON America Inc.,2000000
Grapeshot Games,2000000
Mega Crit Games,2000000
Wube Software LTD.,2000000
"Data Realms, LLC",2000000
Reperio Studios,2000000
Soviet Games,2000000
Thegamewallstudios,2000000
Greenheart Games,2000000
Ludeon Studios,2000000
Eugen Systems,2000000
S2 Games,2000000
Fish Factory Games,2000000
Team Cherry,2000000
OVALIS INVESTMENTS LIMITED,2000000
Axolot Games,2000000
Monomi Park,2000000
Warhorse Studios,2000000
SQUARE ENIX,2000000
IO Interactive A/S,2000000
MOVE ON USA CO.,2000000
Gaijin Distribution KFT,2000000
Blazing Griffin Ltd.,2000000
Studio MDHR Entertainment Inc.,2000000
Gamigo AG,2000000
Shining Rock Software LLC,2000000
Piranha Games Inc.,2000000
Crate Entertainment,2000000
KOG Games,2000000
NASA,2000000
Two Tribes Publishing,2000000
Berserk Games,2000000
"JumpStart Games, Inc.",2000000
Cygames Korea Inc.,2000000
Kakao Games Europe B.V.,2000000
Dovetail Games - Flight,2000000
Dovetail Games - Trains,2000000
!Lim studio,1980000
Reverb Triple XP,1970000
Black Shell Media,1970000
Minor Key Games,1960000
MumboJumbo,1960000
Freshtrax,1950000
Tero Lunkka,1920000
Headup Games,1920000
Home Net Games,1900000
Quiet River,1820000
Humongous Entertainment,1810000
Ubisoft Entertainment,1800000
Revolution Software Ltd,1800000
Enjoy Games,1790000
VGstudio,1760000
DrinkBox Studios,1750000
Armor Games Studios,1730000
Riviysky,1720000
Alientrap,1720000
"H2 Interactive Co., Ltd.",1710000
KishMish Games,1710000
Google,1710000
Rising Star Games,1710000
Epic Quest Games,1700000
EQ Games,1700000
NukGames,1700000
K Bros Games,1690000
VaragtP,1640000
Frogwares,1620000
Image & Form Games,1600000
Team Reptile,1600000
34BigThings srl,1560000
Aldorlea Games,1560000
Tomorrow Corporation,1550000
Cleverweek,1550000
CharlieH,1550000
NedoStudio,1540000
Cherry Pop Games,1520000
The Quantum Astrophysicists Guild,1520000
Crows Crows Crows,1520000
Black Forest Games,1520000
Clapfoot,1500000
Almost Human Games,1500000
Indie Game Group,1500000
Pixonic,1500000
HuniePot,1500000
Viva Media,1500000
Codename Entertainment Inc.,1500000
EQGames,1500000
Abbey Games,1500000
Krillbite Studio,1500000
EfimovMax,1500000
FreezeNova,1460000
Nyu Media,1450000
Blazing Griffin,1400000
astragon Entertainment,1390000
Ripstone,1380000
"NIS America, Inc.",1380000
Arc System Works,1370000
Alawar Premium,1350000
Indovers Studio,1340000
Bithell Games,1320000
HFM Games,1320000
Capybara Games,1320000
Fruitbat Factory,1310000
Gamera Game,1310000
EuroVideo Medien,1300000
Papaya Play,1300000
Apogee Software,1290000
Shiver Games,1270000
André Bertaglia,1260000
Bedtime Digital Games,1250000
Milkstone Studios,1250000
Offworld Industries,1250000
Panoramik Inc,1240000
Days of Wonder,1240000
Ripknot Systems,1240000
IndieGala,1230000
Unusualsoft,1220000
Crackshell,1220000
Tribute Games Inc.,1220000
SmashGames,1220000
HeroCraft,1210000
Those Awesome Guys,1200000
azimut team,1200000
Blue Isle Studios,1200000
Fullbright,1200000
Defiant Development,1200000
Pragmatix Ltd,1200000
Hothead Games,1200000
Suba Games,1200000
MinMax Games Ltd.,1200000
Mode 7,1170000
Another Indie,1170000
Black Pants Studio,1150000
X.D. Network Inc.,1150000
Excalibur Games,1140000
Matthew Brown,1140000
Digital Leisure Inc.,1140000
Laush Studio,1130000
EHTechnology,1130000
 ,1130000
Fireproof Games,1120000
Bitlock Studio,1120000
Star Vault AB,1120000
"Dejobaan Games, LLC",1120000
Alawar Entertainment,1120000
Cold Beam Games,1120000
Big Robot Ltd,1120000
Ice Water Games,1120000
Sunlight Games,1120000
Dan Fornace,1100000
Failbetter Games,1100000
Aerosoft GmbH,1100000
OtakuMaker SARL,1100000
"BitMonster, Inc.",1100000
Azerion,1100000
Numantian Games,1100000
Crystal Shard,1080000
Ghost_RUS Games,1080000
Black Lime Studio,1070000
1C Online Games,1070000
TopWare Interactive,1070000
"Jundroo, LLC",1070000
Milestone S.r.l.,1070000
Reiza Studios,1070000
Microids Indie,1070000
Messhof,1070000
10tons Ltd,1060000
vikingfabian.com,1060000
Majesco Entertainment,1060000
Blender Games,1060000
U-Play Online,1060000
For Kids,1060000
Robot Gentleman,1050000
Snail Games USA,1050000
Stegersaurus Software Inc.,1050000
Spasman Games,1050000
Merge Games,1050000
"Gaslamp Games, Inc.",1050000
Sad Panda Studios,1050000
KillHouse Games,1050000
Silver Dollar Games,1050000
Deck13,1040000
Cristian Manolachi,1040000
Archive Entertainment,1040000
4 I Lab,1040000
Atomic Fabrik,1040000
Ninja Theory,1020000
S.C. 16 BIT NIGHTS S.R.L.,1020000
Owlchemy Labs,1020000
Flippfly LLC,1020000
Charyb Games,1020000
2Play,1020000
Rainbow Games,1020000
The Game Bakers,1020000
Blendo Games,1020000
Yacht Club Games,1020000
Self Published,1020000
Onyx Lute,1020000
Light Bringer Games inc.,1020000
Mad Otter Games,1020000
"Laser Guided Games, LLC",1020000
StarSystemStudios™,1010000
HyperReuts,1000000
Heart Machine,1000000
Dinosaur Polo Club,1000000
Saibot Studios,1000000
Bankroll Studios,1000000
Changyou.com Limited,1000000
Russian Fishing,1000000
GungHo Online Entertainment America,1000000
Gun Media,1000000
Teeworlds Team,1000000
Big Fat Alien,1000000
Yodo1 Games,1000000
Cylinder Studios,1000000
Titan Studio,1000000
BlankMediaGames,1000000
5 Lives Studios,1000000
Young Horses,1000000
KIXEYE,1000000
Youda Games Holding B.V.,1000000
The Astronauts,1000000
Vertigo Games America,1000000
Rusty Lake,1000000
The Indie Stone,1000000
"Lion Shield, LLC",1000000
EasyAntiCheat Ltd,1000000
League of Geeks,1000000
Topware Interactive ACE,1000000
Behaviour Interactive Inc.,1000000
Planetary Annihilation Inc,1000000
Elijah Newman-Gomez,1000000
Tribe Studios,1000000
Cosmic Cow LLC,1000000
Eleon Game Studios,1000000
Zombie Panic Team,1000000
"Topware Interactive, ACE",1000000
JForce Games,1000000
Clever Endeavour Games,1000000
Reakktor Studios,1000000
Wales Interactive,1000000
Dry Cactus,1000000
Lightmare Studios,1000000
Nik Nak Studios,1000000
Skullcap Studios,1000000
Bernt Andreas Eide,1000000
Streum On Studio,1000000
Entrada Interactive LLC,1000000
Panic,1000000
Double Damage Games,1000000
Rogue Snail,1000000
"Cloudcade, Inc.",1000000
Webzen,1000000
Abyss Lights Studio LLP,1000000
Beam Team Pty Ltd,1000000
BeamNG,1000000
Bethesda-Softworks,1000000
Digitalmindsoft,1000000
Joey Drew Studios Inc.,1000000
Eden Industries,1000000
WayForward,1000000
Lunarch Studios,1000000
En Masse Entertainment,1000000
38 Studios,1000000
SDEnterNet,1000000
"Nether Productions, LLC",1000000
Kloonigames,1000000
Final Form Games,1000000
Facepalm Games,1000000
Scavengers Studio,1000000
The Molasses Flood,1000000
Senscape,1000000
Mastfire Studios Pty Ltd,1000000
Mercury Steam Entertainment s.l.,1000000
"Artix Entertainment, LLC",1000000
Alan Edwardes,1000000
Buka Game Studio,1000000
NEXT Studios,1000000
Unreal Software,1000000
Bluebutton Games,1000000
Frozen District,1000000
Blue Manchu,1000000
Holotech Studios,1000000
Kunos Simulazioni,1000000
Hoplon,1000000
Superflat Games,1000000
Neople,1000000
Hemisphere Games,1000000
RedCandleGames,1000000
Matt Makes Games Inc.,1000000
Steel Crate Games,1000000
"CAPCOM Co., Ltd. ",1000000
FarSight Studios,1000000
Campo Santo,1000000
"Penny Arcade, Inc.",1000000
北京网元圣唐娱乐科技有限公司,1000000
Holy Priest,1000000
Marxnet,1000000
Hidden Path Entertainment,1000000
Madruga Works,1000000
Secret Exit Ltd.,1000000
Octoshark Studios,1000000
"Thekla, Inc.",1000000
BANDAI NAMCO Entertainment America,1000000
Holyday Studios,1000000
Michael Zahniser,1000000
ArtemizGame,1000000
Infernum Games GmbH,1000000
"WildWorks, Inc.",1000000
Grunge Games LTD,1000000
Idea Factory,1000000
Humble Bundle,990000
RewindApp,990000
Excalibur Publishing,990000
Kasedo Games,960000
Dark Light Studio,960000
5Wolf,950000
Studio48,940000
Puppygames,940000
Dexion Games,930000
Phoenix Online Publishing,930000
Double Eleven,920000
Wargaming Labs,920000
White Dog,920000
NIKITA ONLINE,920000
Sierra,920000
Carpe Fulgur LLC,920000
FIVE-BN GAMES,910000
Ultimate Games S.A.,910000
Game-Labs,900000
YarGri,900000
Peace,890000
JoyBits Ltd.,890000
BlueLine Games,890000
Ludosity,890000
SOEDESCO Publishing,880000
Alda Games,870000
upjers,860000
Ravenscourt,850000
Flazm,850000
Hosted Games,840000
Ghostlight LTD,840000
ANPA.US,840000
Hanako Games,830000
Nickervision Studios,820000
Bitbox Ltd.,820000
Dear Villagers,820000
SimProse Studios,820000
Axyos Games,820000
Broken Rules,820000
Annapurna Interactive,820000
Matt Roszak,820000
LEVER Software,810000
3D Realms (Apogee Software),810000
Born Ready Games,800000
Ironhide Game Studio,800000
Choice Provisions,800000
Vertigo Gaming Inc.,790000
HeR Interactive,790000
SlyGames,780000
Mihai Morosanu,780000
Digital Eel,770000
Sacred Walrus,760000
Schell Games,760000
PsychoFlux Entertainment,760000
GirlGame,750000
Cobra Mobile,750000
SkyGoblin,750000
Full Control,750000
InvertMouse,750000
b-alive gmbh,740000
Endless Loop Studios,740000
Rake in Grass,730000
PQube Limited,730000
ZemunBRE,720000
European Games Group AG,720000
Digital Happiness,720000
The Men Who Wear Many Hats,700000
Lighthouse Games Studio,700000
KranX Productions,700000
Flynn's Arcade,700000
Noble Master LLC,700000
Garage Games,700000
David Mulder,700000
"Hassey Enterprises, Inc.",700000
Dylan Fitterer,700000
David OReilly,700000
David Szymanski,700000
Brimo Studio,700000
Fifth Dimension Company,700000
NGD Studios,700000
Doborog Games,700000
DolphinBarn,700000
GrizzlyGames,700000
IKEA Communications AB,700000
Tatyana Murzina,700000
bilibili,700000
Radial Games Corp,700000
3f Interactive,700000
bitComposer Games,700000
17-BIT,700000
L. Stotch,690000
Gamious,690000
Frontwing USA,690000
Sapphire Dragon Productions,690000
Libredia,690000
HexWar Games,680000
DANGEN Entertainment,680000
Dharker Studio,680000
Rhino Games,680000
Zoo Corporation,680000
Finji,670000
КиКо,670000
Neko Climax Studios,670000
Legend Studio,670000
Akupara Games,660000
Vertigo Games,660000
NanningsGames,660000
NovaLogic,660000
Hunted Cow Studios,650000
Blue Wizard Digital,650000
Vyacheslav Shilikhin,650000
Zotdinex,650000
@unepic_fran,650000
"CINEMAX, s.r.o.",650000
Thunder Devs.,650000
Virtual Rage Studios LLC,650000
Room710Games,650000
Four Winged Studio,640000
ThinkOfGames,640000
Kazakov Oleg,640000
SilentFuture,640000
Zen Studios,640000
D3 PUBLISHER,630000
Konstructors Entertainment,620000
PixelMouse,620000
Walter Machado,620000
Winter Wolves,620000
Nekyau,620000
ValuSoft,620000
indienova,620000
Subsoap,620000
Vidas Salavejus,620000
Desert Owl Games LLC,620000
Michaela Laws,620000
Q-Games Ltd.,620000
Nomad Games,620000
Smudged Cat Games Ltd,620000
Droid Riot,610000
Whisper Games,610000
Animu Game,600000
Techland,600000
Teotl Studios,600000
Dominique Grieshofer,600000
DiezelPower,600000
Dreadlocks Ltd.,600000
Berzerk Studio,600000
South East Games,600000
Supra Games,600000
Camex Games,600000
THE BROTHERHOOD,600000
Ska Studios,600000
Flying Interactive,600000
SouthPeak Games,600000
Code}{atch,600000
Misfits Attic,600000
Midnight City,600000
Blue Whale Games,600000
HH-Games,600000
The Game Creators,600000
Lonely Troops,590000
Ysbryd Games,590000
Kiss Publishing Ltd,590000
Corvostudio di Amadei Marco,590000
Guru Games,590000
Qumaron,580000
Green Man Gaming Publishing,580000
Tin Man Games,580000
Out of the Park Developments,580000
ForwardXP,570000
"Idea Factory International, Inc.",570000
Uppercut Games Pty Ltd,570000
NodziGames,570000
Size Five Games,570000
none,570000
Transhuman Design,570000
Coatsink,570000
Ardi Studio,570000
Libredia Entertainment,560000
Snkl Studio,560000
Kedexa,560000
StalkerAlex.,560000
The Irregular Corporation,560000
Firehawk Studios,560000
REMIMORY,560000
Powerhoof,550000
Kot in Action Creative Artel,550000
Rain Games,550000
Eyebrow Interactive,550000
Extreme Developers,550000
Destructive Creations,550000
Upturn Games,550000
Cipher Prime Studios,550000
O'olBlue Inc.,550000
Industry Games,550000
Indie Games Studio,550000
"What Pumpkin Games, Inc.",550000
9heads Game Studios,550000
WEBZEN,550000
BeautiFun Games,550000
Over The Moon,550000
increpare games,550000
nobodyshot,550000
Maciej Targoni,550000
Acuze Interactives,550000
Ziel Graywords,550000
InSayn,550000
Tiger Style,550000
Scary Bee LLC,550000
Code Horizon,550000
Rockin' Android,540000
cada,540000
NEOWIZ,540000
Rooster Teeth Games,540000
Nimbly Games,540000
Classics Digital,540000
Mastertronic,540000
LR Studio,540000
VitaliZelenyuk,540000
Whale Rock Games,540000
DigitalDNA Games LLC,540000
ThankGame.com,540000
Iron Galaxy,540000
Blowfish Studios,540000
Psychic Games Ltd.,540000
Cyan Worlds,540000
Samurai Punk,540000
ToastieLabs,540000
Behold Studios,540000
Aslan Game Studio,540000
YETU GAME,540000
tamationgames,540000
NVLMaker,530000
Bullid Games,530000
Afterthought Studios,530000
Akakiy Petrushkin,520000
Rabbiton,520000
Next Dimension Game Adventures Ltd.,520000
Daniel Mullins Games,520000
Threaks,520000
Rocketcat Games,520000
Pixeljam,520000
Artifice Studio,520000
ReverseImpact,520000
Mighty Games,520000
Fishing Cactus,520000
Netcore Games,520000
The Merchant Guild of Rund (Limited),520000
Puny Human,520000
Nemesys Games,520000
Last Level,520000
Tim Sullivan,520000
Labory,520000
Dark Day Interactive,520000
Tasharen Entertainment Inc.,520000
(none),520000
Daring Touch,520000
Interactive Stone,520000
Going Loud Studios,520000
Interdimensional Games Inc,520000
Top Meadow,520000
Adventure Productions,520000
Chronic Logic,520000
JDM4iK,520000
Sos Sosowski,520000
Naarassusi Publisher,520000
BindleBot,520000
Benjamin Rivers Inc.,520000
DreamPunks,520000
Crematorium of Time,520000
Moonlit Works,520000
Emad,520000
GamesBoosters,520000
MBDL,520000
Toplitz Productions,520000
PlayFlock,520000
Sparpweed,520000
Eggcode,520000
David Schneider,520000
StevenHarmonGames,520000
davevillz,520000
Rubycone,520000
Empty Clip Studios,520000
PikPok,520000
Minority Media,520000
"StartupTim, LLC",520000
Spooky Squid Games Inc.,520000
The Secret Experiment,520000
Lestyo,520000
the whale husband,520000
Aquiris Game Studio,520000
Red Dwarf Games,520000
Darkelite Studio Inc,520000
Eat Create Sleep,520000
GalaxyTrail,520000
GameHouse,510000
ebi-hime,510000
Quantum Phoenix Studio,500000
Avocavo,500000
Subvert Games,500000
"CRAZYDIAMOND CO., LTD.",500000
MiaoXi Studio,500000
CAPCOM,500000
diman production,500000
Kyle Pulver,500000
Brilliant Skies Ltd.,500000
McKay,500000
Mannequin Games LLC,500000
Brightrock Games,500000
Brilliant Game Studios,500000
Vae Victis Games,500000
VALOFE,500000
Godot Engine,500000
Wizards of the Coast,500000
AwesomeBlade,500000
Dead Shark Triplepunch,500000
Goldhawk Interactive,500000
Mayflower Entertainment,500000
Retro Yeti Games,500000
Stw projects,500000
Good Vibration Games,500000
WolfgangIs,500000
Reverb Publishing,500000
"Schine, GmbH",500000
Hex Entertainment,500000
Screeching Wizard,500000
"Scrap Yard Productions, LLC",500000
Perfuse Entertainment,500000
Meta Interaction,500000
Super Evil Megacorp,500000
Krystian Majewski,500000
Kukouri Mobile Entertainment,500000
GDT Limited,500000
Metagaming B.V.,500000
SuperVillain Studios,500000
Bytebin,500000
Redbana Corporation,500000
NEKO WORKs,500000
Retro Affect,500000
Dark Energy Digital Ltd.,500000
R-Age,500000
Omniconnection,500000
RenPen,500000
Maxime Vézina,500000
Bytro Labs GmbH,500000
Statespace,500000
Maximus.ez,500000
SteelRaven7,500000
State of Play Games ,500000
G2CREW,500000
MobileBits,500000
CSR-Studios,500000
Panda Indie Studio,500000
1C-777,500000
Lucasfim,500000
Real Dynamics,500000
Circle Five Studios,500000
Circle 5,500000
ZackBellGames,500000
Pathea Games,500000
Ludochip,500000
Wareberd,500000
灵异调查管理局,500000
Virtual Basement LLC,500000
Gears for Breakfast,500000
Warner Bros. Interactive Entertainment ,500000
Geoff 'Zag' Keene,500000
Beat Games,500000
Level Up Labs,500000
Game Grumps,500000
Crunchy Games,500000
Black Maple Games,500000
Luo Zhi En,500000
"Chongqing Shangshixuan Technology Co., Ltd.,",500000
Lightbulb Crew,500000
"Bit Blot, LLC",500000
Lightning Man Media,500000
Gameguyz,500000
Lo-Fi Games,500000
Contingent99,500000
Zero Point Software,500000
Zero-K Team,500000
Parabole,500000
TPP Studio,500000
Biart Company LLC,500000
Lord Kres,500000
Vladis Fire,500000
Games Operators,500000
Lightning Man Media ,500000
Tabletopia Inc.,500000
Cornered Rat Software,500000
GameUS Inc.,500000
"Bigscreen, Inc.",500000
BioWare Corporation,500000
Monkeys Lab.,500000
Lince Works,500000
Crazy Rocks Studios,500000
Lightspeed Studios™,500000
Chongming Studio,500000
WeirdBeard,500000
Red Thread Games,500000
MAGICS,500000
"MidBoss, LLC.",500000
ROCKFISH Games,500000
Lapovich,500000
"BadFly Interactive, a.s.",500000
DRUNKEN APES,500000
Carlsen Games,500000
LWNA,500000
Cardboard Computer,500000
Ginormocorp Holdings Ltd,500000
"Vblank Entertainment, Inc.",500000
GK,500000
Hellscape Games,500000
Dagestan Technology ,500000
Sauropod Studio,500000
LLC RIKOR IMT,500000
MagdalenaTeam,500000
Vanguard Entertainment Group,500000
Mystik'Art,500000
Dan  Walters,500000
CakeEaterGames,500000
LBC Games,500000
Last Bastion Studios LLC,500000
BlinkWorks Media,500000
Stellar Jockeys,500000
D-Pad Studio,500000
MovingBlocks,500000
Wesnoth Inc.,500000
Blackpowder Games,500000
Batterystaple Games,500000
RUST LTD.,500000
Basaltic studio,500000
Chandler Rounsley,500000
Gaijin Entertainment Corporation,500000
Blameless Games,500000
D3 Go!,500000
Bandai Namco,500000
Payload Studios,500000
Rocket Bear Games,500000
Step 1 Games LLC,500000
Giant Army,500000
White Rabbit Games,500000
Robotronic Games,500000
Blind Sky Studios,500000
Murudai,500000
Sam Barlow,500000
Big Sandwich Games,500000
Brave Little Studios,500000
EarthWork Games,500000
Ipsilon Developments,500000
NetDragon Websoft Inc.,500000
AEY Inc.,500000
Efimov Max,500000
AndrewDrumov,500000
Andrey Malyarov,500000
I Need Play,500000
The Chinese Room,500000
SixtyGig Games,500000
marbenx,500000
Diminished Studios,500000
"Dingaling Productions, LLC",500000
ProGames Studio,500000
Dire Wolf Digital,500000
Six Foot,500000
Jarbit,500000
Toxic Games,500000
Quantum Phoenix,500000
ACE Team,500000
Elecorn,500000
PixelTail Games,500000
DiggerWorld Ltd.,500000
EpicQuest Games,500000
AlternativaPlatform Ltd.,500000
Tomadeira,500000
ILMxLAB,500000
Diatomic Games,500000
The Farm 51,500000
Amistech Games,500000
JAVELIN OÜ,500000
